Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2020,07,16,12.8,1,Y
IDCJAC0010,070351,2020,07,17,14.4,1,Y
IDCJAC0010,070351,2020,07,18,12.9,1,Y
IDCJAC0010,070351,2020,07,19,13.8,1,Y
IDCJAC0010,070351,2020,07,20,13.8,1,Y
IDCJAC0010,070351,2020,07,21,13.8,1,Y
IDCJAC0010,070351,2020,07,22,14.3,1,Y
IDCJAC0010,070351,2020,07,23,11.8,1,Y
IDCJAC0010,070351,2020,07,24,14.7,1,Y
IDCJAC0010,070351,2020,07,25,15.1,1,Y
IDCJAC0010,070351,2020,07,26,12.0,1,Y
IDCJAC0010,070351,2020,07,27,12.2,1,Y
IDCJAC0010,070351,2020,07,28,15.6,1,Y
IDCJAC0010,070351,2020,07,29,15.7,1,Y
IDCJAC0010,070351,2020,07,30,14.7,1,Y
IDCJAC0010,070351,2020,07,31,13.5,1,Y
IDCJAC0010,070351,2020,08,01,13.2,1,N
IDCJAC0010,070351,2020,08,02,11.8,1,N
IDCJAC0010,070351,2020,08,03,14.1,1,N
IDCJAC0010,070351,2020,08,04,12.3,1,N
IDCJAC0010,070351,2020,08,05,9.9,1,N
IDCJAC0010,070351,2020,08,06,10.8,1,N
IDCJAC0010,070351,2020,08,07,10.5,1,N
IDCJAC0010,070351,2020,08,08,12.4,1,N
IDCJAC0010,070351,2020,08,09,11.3,1,N
IDCJAC0010,070351,2020,08,10,12.6,1,N
IDCJAC0010,070351,2020,08,11,11.5,1,N
IDCJAC0010,070351,2020,08,12,12.6,1,N
IDCJAC0010,070351,2020,08,13,16.9,1,N
IDCJAC0010,070351,2020,08,14,14.7,1,N
IDCJAC0010,070351,2020,08,15,11.1,1,N
IDCJAC0010,070351,2020,08,16,14.9,1,N
IDCJAC0010,070351,2020,08,17,13.6,1,N
IDCJAC0010,070351,2020,08,18,14.3,1,N
IDCJAC0010,070351,2020,08,19,11.2,1,N
IDCJAC0010,070351,2020,08,20,10.7,1,N
IDCJAC0010,070351,2020,08,21,10.5,1,N
IDCJAC0010,070351,2020,08,22,7.5,1,N
IDCJAC0010,070351,2020,08,23,10.9,1,N
IDCJAC0010,070351,2020,08,24,11.0,1,N
IDCJAC0010,070351,2020,08,25,12.6,1,N
IDCJAC0010,070351,2020,08,26,13.9,1,N
IDCJAC0010,070351,2020,08,27,15.6,1,N
IDCJAC0010,070351,2020,08,28,13.7,1,N
IDCJAC0010,070351,2020,08,29,18.6,1,N
IDCJAC0010,070351,2020,08,30,18.4,1,N
IDCJAC0010,070351,2020,08,31,15.0,1,N
IDCJAC0010,070351,2020,09,01,14.8,1,Y
IDCJAC0010,070351,2020,09,02,18.0,1,Y
IDCJAC0010,070351,2020,09,03,20.2,1,Y
IDCJAC0010,070351,2020,09,04,18.8,1,Y
IDCJAC0010,070351,2020,09,05,17.3,1,Y
IDCJAC0010,070351,2020,09,06,17.6,1,Y
IDCJAC0010,070351,2020,09,07,20.3,1,Y
IDCJAC0010,070351,2020,09,08,22.0,1,Y
