Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2020,05,12,22.9,1,Y
IDCJAC0010,009225,2020,05,13,28.6,1,Y
IDCJAC0010,009225,2020,05,14,27.6,1,Y
IDCJAC0010,009225,2020,05,15,23.9,1,Y
IDCJAC0010,009225,2020,05,16,21.1,1,Y
IDCJAC0010,009225,2020,05,17,21.9,1,Y
IDCJAC0010,009225,2020,05,18,19.6,1,Y
IDCJAC0010,009225,2020,05,19,19.0,1,Y
IDCJAC0010,009225,2020,05,20,19.4,1,Y
IDCJAC0010,009225,2020,05,21,21.0,1,Y
IDCJAC0010,009225,2020,05,22,24.4,1,Y
IDCJAC0010,009225,2020,05,23,26.5,1,Y
IDCJAC0010,009225,2020,05,24,21.9,1,Y
IDCJAC0010,009225,2020,05,25,17.1,1,Y
IDCJAC0010,009225,2020,05,26,17.2,1,Y
IDCJAC0010,009225,2020,05,27,20.5,1,Y
IDCJAC0010,009225,2020,05,28,21.1,1,Y
IDCJAC0010,009225,2020,05,29,21.5,1,Y
IDCJAC0010,009225,2020,05,30,18.4,1,Y
IDCJAC0010,009225,2020,05,31,20.2,1,Y
IDCJAC0010,009225,2020,06,01,19.8,1,N
IDCJAC0010,009225,2020,06,02,21.0,1,N
IDCJAC0010,009225,2020,06,03,25.1,1,N
IDCJAC0010,009225,2020,06,04,25.5,1,N
IDCJAC0010,009225,2020,06,05,24.9,1,N
IDCJAC0010,009225,2020,06,06,24.7,1,N
IDCJAC0010,009225,2020,06,07,22.8,1,N
IDCJAC0010,009225,2020,06,08,24.4,1,N
IDCJAC0010,009225,2020,06,09,25.4,1,N
IDCJAC0010,009225,2020,06,10,24.7,1,
IDCJAC0010,009225,2020,06,11,21.7,1,N
IDCJAC0010,009225,2020,06,12,18.3,1,N
IDCJAC0010,009225,2020,06,13,19.0,1,N
IDCJAC0010,009225,2020,06,14,21.0,1,N
IDCJAC0010,009225,2020,06,15,19.9,1,N
IDCJAC0010,009225,2020,06,16,21.3,1,N
IDCJAC0010,009225,2020,06,17,22.7,1,N
IDCJAC0010,009225,2020,06,18,18.2,1,N
IDCJAC0010,009225,2020,06,19,18.7,1,N
IDCJAC0010,009225,2020,06,20,18.7,1,N
IDCJAC0010,009225,2020,06,21,23.0,1,N
IDCJAC0010,009225,2020,06,22,21.5,1,N
IDCJAC0010,009225,2020,06,23,20.1,1,N
IDCJAC0010,009225,2020,06,24,19.6,1,N
IDCJAC0010,009225,2020,06,25,20.5,1,N
IDCJAC0010,009225,2020,06,26,21.3,1,N
IDCJAC0010,009225,2020,06,27,19.8,1,N
IDCJAC0010,009225,2020,06,28,18.8,1,N
IDCJAC0010,009225,2020,06,29,18.4,1,N
IDCJAC0010,009225,2020,06,30,19.8,1,N
IDCJAC0010,009225,2020,07,01,16.3,1,Y
IDCJAC0010,009225,2020,07,02,17.8,1,N
IDCJAC0010,009225,2020,07,03,19.5,1,N
IDCJAC0010,009225,2020,07,04,22.3,1,N
IDCJAC0010,009225,2020,07,05,23.1,1,N
IDCJAC0010,009225,2020,07,06,19.4,1,N
IDCJAC0010,009225,2020,07,07,18.0,1,N
IDCJAC0010,009225,2020,07,08,17.1,1,N
IDCJAC0010,009225,2020,07,09,17.1,1,N
IDCJAC0010,009225,2020,07,10,16.2,1,N
IDCJAC0010,009225,2020,07,11,17.5,1,N
IDCJAC0010,009225,2020,07,12,22.3,1,N
IDCJAC0010,009225,2020,07,13,19.2,1,N
IDCJAC0010,009225,2020,07,14,18.0,1,N
IDCJAC0010,009225,2020,07,15,17.7,1,N
IDCJAC0010,009225,2020,07,16,20.2,1,N
IDCJAC0010,009225,2020,07,17,15.0,1,N
IDCJAC0010,009225,2020,07,18,18.3,1,N
